comment,mark
学到了很多知识,5.0
实用，对我帮助很大。,5.0
感觉课程有效,5.0
特别的好啊,5.0
。。。。。。,3.0
老师讲的很有用,5.0
很详细，赞,5.0
"好几个fuyrte78\
",1.0
无语......,1.0
烂不烂啊，我雷震子乱杀,1.0
已经上了一遍下来。帮助挺大,5.0
感觉非常不错！,5.0
学到了很多！,5.0
很好很优秀，点赞,5.0
讲的不错。,5.0
"起码给个正确 答案啊 
这我都不知道哪个是正确的答案",1.0
"非常好,非常实用",5.0
讲解详细，收获很大,5.0
完美，到位，无可替代,5.0
知识丰富。结构合理,5.0
受益良多！,5.0
及其完整的课程，值得学习,5.0
第一天看不完，第二天就要重新算进度？？？ndmmsl,1.0
≫( )≫(yhvh’)≪,1.0
，，，，，，,1.0
太好了，学到了很多知识,5.0
辣鸡软件哦,1.0
泪呀，上了这去看别的要,1.0
讲解很详细 有操作视频 一目了然 直观 由浅入深 视频不长 但是学习效果很好 支持哦,5.0
。。。。。,1.0
东西挺好的。,5.0
很好，支持这个学习平台,5.0
6666666,5.0
66666,5.0
垃圾超级垃圾,1.0
很好，挺不错的。,5.0
老师讲得很好，但是我的基础较差，觉得还有很多地方要细细思考,5.0
联奏联奏联奏,5.0
介绍太简单,4.0
内容实用，生活当中能用到,5.0
非常好，很自由，讲课很详细，受益匪浅，一直学习中，希望能合格结束每门课程。,5.0
初学者不错,5.0
内容全面、细致，简洁、易懂。,5.0
说的很好，学习很多,5.0
声音小，但能听到的。老师讲的好。调理清楚。,5.0
蛮好的课程,5.0
感觉说的比较多，图片和视频稍微少了点。另外现在的新车型内容涉及的不多。,4.0
很好，学会了不少东西,5.0
通过学习使我初步了解和掌握了汽车的正确使用法和养护措施，了解到了汽车工作的基本原理，但有些专业术语我不甚理解，感谢视频里的讲解老师，让我受益匪浅。,5.0
还会再来，很喜欢在春暖花开的日子来这里提升自己,4.0
不错，就是有的知识点有些落后了,4.0
很好，浅显易懂,5.0
很好很好很好,5.0
很不错，每个视频一个知识，知识点讲解很细致，把电工基础知识都讲解到位了！,5.0
超棒！简明扼要又条理清晰，该讲的都讲到了，老师的咬字也非常清晰，声音也洪亮，感谢中国大学平台，感谢老师无私分享。,5.0
"LIHAI
",5.0
本人中专高三，机械专业，有人一起学习吗？qq3488930176,4.0
很好很好非常好。,5.0
一个听名师讲课的机会,5.0
电工技术我学会了很多,4.0
非常非常不好,1.0
手机不可以连续播放，看完就完事了吗？学不会不可以重看一遍吗？,1.0
好，让我学到了很多平时漏掉的知识,5.0
这个，讲的真的不错，就是哪个说话的时候有点压抑，一样能自然一点，但是讲的很容易理解,5.0
。。。。。,1.0
呵呵呵呵了,5.0
非常优秀的,1.0
老师讲解清析易懂,5.0
几位老师内容讲解都很全面，课件做的简洁大方，如果老师讲课普通话再标准一点就更好了。,4.0
非常好，而且不要钱,5.0
挺好的，老师讲的挺好的,4.0
感觉挺好的，天天学点，适合初学者，学习一下基础的网络应用。,4.0
 very good,5.0
老师讲的很好都可以理解,5.0
也就那样吧,3.0
老师讲的很详细,4.0
课程很好。希望继续保持。,5.0
收获很大，特别是实操部分，理论方面个人感觉少了点，是不是后面章节多一点!,1.0
特别好特别棒,4.0
学习到的真的以前全都不知道挺好，最好能推出一些新的课程,4.0
非常好的啊,5.0
.....,1.0
考试时间和其他的不统一，很容易和其他的考试时间搞混,1.0
不想上课麻烦,1.0
收获了很多电脑技能知识,5.0
老师讲的很认真，说活也很清晰，不过我的耳机有点问题，五星好评,1.0
学以致用。,5.0
"还行
还行
还行

",4.0
很好很好非常好,5.0
网络课程，网络知识带来了很多乐趣，还有意识到网络的安全性！,4.0
好好好啊试试,5.0
通过学习，系统地了解了汽车使用的注意事项，日常维护的技巧，特别使用，针对性强，很受用,5.0
"刘入友爷爷表示这课程真的超级好。
",5.0
受益匪浅。,4.0
在课程里学到很多有用的知识,5.0
很细致，有所收获。,5.0
只知道开车，不知道维护修理，直到看到本课程，实用而且简明！,5.0
对自己日常使用  保养车辆非常有用,4.0
老师讲的很详细，课件做的很仔细。,5.0
这个课件详细的向我们说明了汽车日常使用和怎么保养自己的爱车，使我受益良多,5.0
挺不错！！,5.0
非常好，涨知识。,5.0
课程介绍得很详细,5.0
能够更多的了解汽车一些基础的知识，在以后的汽车保养以及购车方面有更多的了解。,5.0
我在看看再说,4.0
内容太简单，没有干货，失望！,1.0
非常棒呦啊啊啊,5.0
"值得学习、
",5.0
非常好，非常喜欢,5.0
完全一样，很赞,5.0
思路清晰明了,4.0
。....,1.0
讲的太好了。,5.0
emmmm，她普通话不怎么标准，还有知识点不怎么到位，没重点，差评,1.0
Niiiiiiiiiiiiiiice。,5.0
讲得非常好,5.0
     ,5.0
教了，听不懂,1.0
"很好很不错
",5.0
非常好的学习平台,5.0
课程内容安排科学，讲解细致易懂。学习！,5.0
讲解得非常好，简单明了，很容易被学生接受。,5.0
讲解得非常好，简单明了，很容易被学生接受。,5.0
挺好的，老师讲的还算全面,4.0
垃圾不好用,1.0
好好好好好好,5.0
可惜我心已不再学习之中,3.0
差，太差了,1.0
無話可說，他普通話emmm，語速又emmm。,1.0
"棒棒棒棒棒
",5.0
非常棒，可以,5.0
好的一批2222222,5.0
"课程非常实用
",5.0
讲解得较仔细，前6节较清晰，后面windows Server2008载图较模湖，第一次接触较难快速接受,4.0
很好，但是测试里面的知识点基本没有,5.0
学到了很多,5.0
非常的不错,5.0
我觉得自己还有待提升,5.0
风格如果还行,5.0
111111111,5.0
非常的好。,4.0
非常得不错，相关专业学习十分方便,4.0
"完美的世界
",5.0
非常好，很详细,5.0
"非常好 简单易懂 学习效率提高了
",4.0
学习很充实,5.0
可以基础又详细，就是目前来看个人感觉有点过时,5.0
"太烦人了繁琐
",1.0
很不错的呢,5.0
辣鸡辣鸡辣鸡,1.0
证书多久发,5.0
好得不得了，10086个赞！,5.0
学无止境，,5.0
66666,5.0
"我感觉学习良好
",5.0
非常好，学到东西了,5.0
非常好的课程,5.0
切合实际，通俗易懂！,5.0
"模块二4.单选(2分) 关于多功能检测仪的使用，下述说法错误的是(   A   )
A. 拆下故障检测仪时，应先拔下诊断接头，再关闭故障检测仪电源开关和点火开关
B.将故障检测仪连接到诊断接口上时，必须接通点火开关
C. 连接好故障检测仪，应该先接通点火开关，然后再打开故障检测仪的电源开关
D.不允许拽着数据线拔下故障检测仪的诊断接头
与13 判断(2分)将故障检测仪连接到诊断接口上时，必须接通点火开关（错误）有出入。4.单选(2分) 关于多功能检测仪的使用，下述说法错误的是A,B.",5.0
henbucuo,5.0
"让我学习到了汽车发动机的基本维修技能，接下来希望自己考高级工能过
",5.0
很好不错。,5.0
通俗易懂 ，规范操作,5.0
非常好 棒棒哒,5.0
总体很棒，资源优秀，给每一个学习者提供的自我提升的好平台,4.0
比较实用，但是车型有点老。,5.0
很详细，很直观的视频讲解,5.0
很方便吗d,1.0
真的很好！,1.0
内容很好，出了也可以,5.0
无无无无无,3.0
。。。。。,5.0
非常好，我很喜欢。,5.0
太棒了这个软件,5.0
五星好评，分期付款,1.0
123456,4.0
很感谢。老师就是不知道老师地址是哪里？想去拜访他。,5.0
太好了！！！！,5.0
加载巨慢。,1.0
感觉自己还是太差了,5.0
软件太卡了 加载视频也卡 进软件也卡  哪点都卡,1.0
十分好，太好了,4.0
垃圾软件，毁我青春,1.0
棒棒棒棒棒棒,5.0
太棒了，支持,1.0
非常好，非常满意,5.0
感觉还不错，就是视频有点短,5.0
极其恶劣！,1.0
一群托。。。。,1.0
课程贴近实际生活，讲师讲述生动，赞！,5.0
棒棒的 收获丰富,5.0
PPT打不开,1.0
有些课程重复了，但是对与无法上学的我们是一件好事呢。,5.0
什么都好，就是不知道怎么领证书,4.0
视频看完一遍之后，不能重复看第二遍,1.0
咳咳咳咳咳,2.0
软件有点卡,1.0
"今天没吃饭
",1.0
非常好，通俗易懂,5.0
还行，希望更详细些，不然网上连答案都找不到。。。,3.0
真的很不错，好的跟吃了屎一样,1.0
呵呵呵呵呵呵呵呵呵呵呵和二和或和和和和和和或和和和或或或和和和或和和和和和和或和和和或或呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵,1.0
这东西太简单了，差评,1.0
很酷，很炫，很厉害,5.0
感觉自己还行,5.0
挺好的。。,4.0
.......,2.0
还可以 就有时听不懂,4.0
有那么点枯燥,3.0
很好。很有帮助。,5.0
非常不错我喜欢,1.0
出，，，+,1.0
非常详细，对自已的学习十分有帮助,5.0
.......,5.0
什么东西，一直给我显示正在加载中…,1.0
很好，非常好,5.0
一直加载中加载,1.0
好吧好吧好吧,1.0
一课一得，很好,5.0
。。。那你,3.0
很好  认识很多东西！,5.0
初次学习，能够了解一般知识。,5.0
哼哼唧唧见到房管局,5.0
还行吧，知识简陋适合新手,5.0
56666666666,5.0
66666666,5.0
HASOHJAHO,5.0
"我觉得学习效果很好
",5.0
"非常的不错
",5.0
我觉得还好叭,5.0
"太让你爸爸失望了
",1.0
瓦特不是改良蒸汽机吗？,5.0
好好学习 天天向上,5.0
还不错，挺好,5.0
看了视频之后对我学习很有帮助，谢谢,5.0
这个课程让我能深刻了解汽车的文化。,4.0
"非常好。。

",5.0
知识很丰富，内容很好，很容易理解,5.0
邓丽君可是到了,5.0
自己学到了许多知识,5.0
好好  好好好,5.0
"感觉收获挺大的
",4.0
特别好很优秀,5.0
很好，学到了很多的汽车知识,5.0
66666666666666666666666,5.0
学到很多东西,5.0
"很仔细 内容充实
",5.0
好好的时候,5.0
知识蛮丰富的,5.0
差，太差，无比的差,1.0
666666666,5.0
实在是太感谢你们了，这一星是感谢你们让我能在被窝里上课了，剩下的四星，分期付款。,1.0
真的太好用了,1.0
“真好”74,1.0
全是托，辣鸡,1.0
知识是无价的感谢各位老师们！,5.0
太给力了，让我在寒假能够快乐的学习,1.0
哎，无聊，只能来听课,5.0
好棒啊啊啊啊啊,5.0
有点烦了。。,2.0
课程很全面，但是互动方面，有待提高！,5.0
非常详细，讲课非常认真！,5.0
还不错，有文档搭配视屏，学起来还是挺轻松的,5.0
挺好的！！！,5.0
为什么视频不可以再看呢，我想看那章，但它直接跳到我没看的那章，可以改善一下吗？,3.0
课程名字改过来，电工基础,5.0
电工技术基础与技能有所进步。,5.0
停课不停学，很好的App,5.0
讲的很棒，老师很好,5.0
好!好!好!,5.0
好好好好好,5.0
好厉害有收获,5.0
今天刚注册，还行,4.0
.....,5.0
很好这个课程,5.0
无所谓的啦,5.0
汇聚点如何选？,4.0
我未来总不可能去当维修工吧,3.0
感觉还可以,3.0
66666,5.0
加油看好你们,3.0
挺好用的就是有点卡,5.0
很好，讲的很详细，通透,3.0
"不错，对电脑有了新的认识。
",5.0
好，很好，非常好,5.0
请问明天几点开课,4.0
好棒的程序,5.0
受用很深，也学到了很多的知识，让我感触非常大。学到了以前没有遇到过的知识，也非常的实用,5.0
。。。。。,4.0
henghaohhh,5.0
"还可以就是没有讲解各个零件的名字及用途
",4.0
让我学到了很多课本中学不到的知识,5.0
"总体还行，赞
",5.0
讲的很好，语言规范点就好了。有的录音回音大听不清楚。,4.0
非常好，在增加些讲解更好,5.0
老师讲的很好,5.0
总体不错，个别的视频有效错误，比如燃油压力调节器，而不是燃油压力调角器。有些拆装检测的步骤如果配有注意事项说明就更完美了。,4.0
特别好，xuedaol很多,5.0
继续教育证书？,4.0
很好很棒，希望越来越好,5.0
"不错不错，值得推荐
",5.0
实践指导性很强！,5.0
"不错的   挺好  
",5.0
这门课程算是还行吧,4.0
受益匪浅，对于我这样的零基础，真的能够学到许多！,5.0
很好多次反复学习,5.0
课程非常精彩,5.0
还需详细，特别工具,4.0
不服老不行,5.0
666666666,4.0
课件的准确度极高，但介绍的范围还是有点少。,5.0
"好
好好好好",5.0
"非常好，深有感触

",5.0
感觉一般吧,4.0
感觉非常好,5.0
还好还好还好还好,5.0
互联网平台思维，重点突出,5.0
科普型课程,4.0
"课程十分有趣
",5.0
声色并茂，精彩,5.0
"收获了很多知识
开拓了眼界",5.0
通过本课程我学习到了很多汽车方面的知识，收获很大,5.0
不错。就是简单了点。,4.0
不错。就是简单了一点。,4.0
学习了汽车的品牌文化，对汽车的发展有了更加深刻的了解。,5.0
内容丰富，受益很多。,5.0
照着念有什么意思安，又不是不识字。另外课件PPT也不给下载。,2.0
"懂了很多知识，
",5.0
"好好好好好好

",5.0
至少让我学了很多,5.0
不知道怎么算支路电流法的详细解题过程， 没有详细的解题过程看完之后只会列式子不会解式子啊,2.0
"多少能明白些基本原理和计算了
",5.0
老师讲解细致易懂，思路清晰，收获很大,5.0
老师，可不可以提前将所有课程开放,5.0
内容条理，概念清晰，操作演示规范，每小节问题引入，小结知识点，语言精炼，起到很好的教学示范作用，值得向老师学习。,5.0
老师您好，请问怎样可以看前几次的视频呢？,5.0
"基础知识讲的很细，让人易懂，感谢老师们
",5.0
课程内容很丰富,5.0
还可以，讲课的节奏很好，内容难度适中，适合初学者。,5.0
老师讲得很好  通俗易懂 赞,5.0
学以致用，基础务实。,5.0
认为非常棒。,5.0
老师讲的很不错，也希望老师能过个一个好的春节。,5.0
讲的干脆利落，受益匪浅！,3.0
受益匪浅！,3.0
还是要多提几个为什么  不要 光讲知识,5.0
在这上面学到很多 更加了解了电路的相关知识,5.0
课程通俗易懂，受益匪浅。,4.0
组织方式，授课内容都比较好,5.0
好好好好好好,5.0
那边技能吧,5.0
很有用 非常不错,5.0
什么时候开课,3.0
6666666,3.0
"好好好好好
",5.0
非常好用值得信赖,5.0
非常不错 ,5.0
很好，非常好,5.0
不错的课程,5.0
内容十分OK,5.0
很好不错可以,5.0
"真好
的，很有帮助",5.0
挺好用的，这个软件,4.0
很好非常好,5.0
知道了更多知识,5.0
从对网络的使用到对其了解和学习，收获很大的,5.0
更好的了解了计算机知识,3.0
学习到了关于网上购物等等实用的知识，和一些关于计算机的专业方法。,5.0
真的很有意义,5.0
课件做得很仔细，老师说得很明白。,5.0
知识的海洋！,5.0
挺好的，希望讲长一点,5.0
"整体结构很好，但需要进一步细化，结合工作页和维修手册
",5.0
收获很大的,5.0
还行吧 初步了解,3.0
加深了我对汽车文化的了解，让我更加热爱汽车，希望更深入了解汽车的历史。,5.0
课程很详细，逻辑清晰！,5.0
学习都有一定时间了，这是一个很好的学习平台，可以利用一些上班以外的空余时间进行学习，充实自己。,5.0
真的很不错！,5.0
课件及授课内容过于简单，有时候测试内容无法在简单的课件中寻找得到，而且测试题里面有小部分的答案是错误的。,3.0
还好继续学习,5.0
很好。很好。,5.0
非常棒呦，哈哈,5.0
没有老师讲解，只是念书一样,3.0
此课程非常好,5.0
挺好的学习形式,5.0
非常好，支持,5.0
无聊，，，，,1.0
小时候就对此感兴趣，苦于没有合适的机会，感谢中国大学MOOC团队！！！,5.0
很具体，很详细,5.0
课件准备的不错,3.0
老师讲的非常细致、全面，学起来比较容易明白。,4.0
不错，学到了不少知识，学会了怎样做课程设计,5.0
"很好，很详细。值得学习
",5.0
都是一些基础知识，对于初学者来说很有用。前面四章内容毫无压力从电磁场的知识开始觉得有点难理解了。重复多看几次，相信自己一定能学好。谢谢各位老师的辛苦讲解。,4.0
感谢老师。 老师讲的非常清楚,5.0
"非常 棒，讲的透彻
",5.0
xue xi,5.0
新颖的授课方式，非常不错，而且还可以与实际挂钩，最难得,5.0
传统教学方法，呆板，低效,2.0
从理论走向实践。,5.0
老师讲得非常明白和清楚，学起来也容易,5.0
老师做的课程精致细心，通俗易懂，能很快的吸收，比以往纯文字叙述和附带照片的书本容易理解多了，老师们花了很多时间和精力，实在感激不尽。,5.0
就是感觉对生活的种种方面都有帮助吧,4.0
我感觉很有用,5.0
从中可以学得更多专业的职业技术，更加了解计算机，,4.0
感觉从中学到了很多很多。谢谢老师给了我这个机会来学习这些课程。,5.0
挺不错的，讲的很好,5.0
老师上课很用心，让我受益匪浅，恍然大悟，课讲的很明白，很感谢能有这样的一个平台来提升我自己,5.0
讲的很好，很实用,5.0
呃呃呃呃呃,5.0
很不错，不过可以加入网络管理方面的就更好了,5.0
66666,5.0
"。。。
。。。",5.0
ok的呢！,5.0
太棒啦，学到了好多东西。,3.0
还可以吧。。,5.0
讲得很明白,4.0
课程简单易懂   ,5.0
可以，给好评,5.0
十分受用，知识增加。,4.0
"老师讲的很好
",5.0
让我对计算机有了更好的认识,4.0
易懂，讲课细致,4.0
适合我学习,5.0
不错，学习结构合理，紧张有序。,5.0
"恒好哦，很棒
",5.0
非常有帮助!,5.0
非常好的课程，很有用,5.0
感觉可以，先力挺,5.0
老师讲的很好很实用。,5.0
好好好好好好好,5.0
"很不错太好了
",5.0
"挺好的
双方各SR",5.0
课程很不错，老师们很用心的教，如果有交流群那就再好不过了。。,5.0
让我知道了基本的计算机知识，还拓展了我的兴趣，让我认识到自己的人不足,3.0
学习的很棒,5.0
"我感觉很不错
",5.0
棒棒哒学习更好的计算机知识,5.0
"学到很多东西
",5.0
很好用，启发很多,5.0
很好用，觉得学到很多,4.0
挺感慨的，虽然花的时间多但是收获也挺大的，弄懂了好一部分以前不知道的只是,5.0
感谢老师们的授课，50岁的我们学习不为证书，只为了解一些茶的知识提高生活品质。希望能简单介绍一些常见茶的手工制作方法。,5.0
很不错  感觉很有收获,5.0
很棒，学到很多,5.0
内容很丰富，老师讲的也比较细致，获益匪浅，学习茶艺就是经历茶的整个生命历程！,5.0
学到不少知识,5.0
必须推荐，感谢老师们的精心制作。有很多亮点，如茶的来源传说故事，制作了专门的动画；茶艺冲泡的展示非常专业，讲解恰到好处，动作的流畅自然，干净，非常具有观赏性。,5.0
中国幕课很好！,5.0
学习这个课程很有收获,5.0
教学内容荣实用性强，对于非专业人士，了解有关茶的知识有很大帮助。希望后面内容介绍一些茶礼方面的知识，对推广普及中国茶文化有好处。,5.0
授课内容适合我这样的初学者，内容详实，个别节没有介绍浸泡时间,5.0
课程内容实用，受益很多。,5.0
了解茶的基本知识，学习茶艺,5.0
喜欢，希望能传承下去，发扬光大，老师讲的很棒,5.0
棒！强烈推荐,5.0
学习了很多，老师们辛苦了!,5.0
学到了很多专业知识，茶艺是一门很好的课程，在学茶的过程中更多的是静下心来，去享受生活的过程,5.0
喜欢，有意义，适合入门,5.0
这门课是众多茶艺课程中，比较容易入手的一门，从茶的历史、文化到分类、鉴别、冲泡等，都有涉及。强烈推荐。,5.0
实用，学到了很多知识，面画内容也做的很完善,5.0
课程体系完整，老师讲解精辟，硬干货。,5.0
哈哈哈，感觉通过这门课程的学习，对咖啡的了解更多了，超级喜欢这些带有文化气息的小故事还有安排的时间也是恰到好处的，非常喜欢，感觉自己的学习效率也提高了很多喔。给编者点个赞，笔芯，嘿嘿~,5.0
非常实用，视频结合文档、练习学起来清晰明了1,5.0
课堂讲解及课件都很精彩，从未了解过咖啡，现在长见识了,5.0
非常感谢老师，让我系统了解咖啡文化，谢谢！,5.0
这门课程很有意思。,5.0
"非常不错的课程。
",5.0
很不错的了解一下咖啡文化的方式！,5.0
咖啡一直是我钟爱的饮品，以前只知道喝，想不到还有这么多门道在里面额,5.0
画面感像是上个实际的，听了两节感觉不怎么样，等全部学完希望有收获,2.0
感觉既有咖啡调制赏析还有可以实际操作的教授过程，很喜欢。,5.0
so good,1.0
很好呦多谢,5.0
埃塞俄比亚 牧羊人，土耳其 商人， 意大利威尼斯！ Espresso诞生 。意式王超开始！,5.0
精心制作的课程，很棒,5.0
很好！！！,5.0
还有好多新知识，应该加到课程里面来。,5.0
我爱学习，学习使我快乐,3.0
课程内容安排合理,5.0
课程挺不错的，需要好好消化练习。,5.0
通过视频和课件的展示，我了解到了不同种类咖啡的制作课程以及相关历史文化。感谢老师的讲解和咖啡人员的视频展示。,5.0
张景中院士主讲的《发现微积分》以微积分发展史为主线，系统阐述了微积分的来龙去脉，让人知其然而知其所以然，眼前一亮，茅舍顿开。讲课内容生动，引经据典，恰到好处，从问题根源出发，逐步引出微积分所蕴含的思想方法。《发现微积分》不仅让你从中领略微积分伟大的思想精髓，同时对于进一步学习更严谨的微积分会有一臂之力，在此强烈推荐给数学爱好者！同时感谢张院士及团队热情无私的付出，而给我们所带来的美好快乐的礼物——《发现微积分》,5.0
超级喜欢听老师的课。,5.0
几年前拜读过张景中院士的《直来直去的微积分》一书，深受感触，现在看到这们课程，还是非常欣喜的。无论是书还是课程，都是很好的！,5.0
老师的讲课娓娓道来，有理论有实例，通俗易懂。,5.0
不像一般的课程从微积分已有的定理切入，而是从研究进程慢慢发现微积分，感觉更容易理解，但节奏比较慢，不适合应试,4.0
谢谢 张院士的讲解，循序渐进，推荐大家听课,5.0
