评论,分类
让我无聊的寒假能够学习，真好,0
讲的较好，谢谢教师,1
啥比 东西,0
通过学习电工技术基础与技能该门课程，使我了解了基本的电工常识，也对身边的世界有了更加深入的了解。,1
非常超级超级棒的课程，学习到了很多知识,1
一星好评，太开心了，让我们能在疫情期间认真学习写笔记。,0
"……我我我，
 我的刀呢",0
挺好的挺好的,0
"很好，让我学到了很多
",1
我觉得这个计算机网络基础挺好的，对我帮助挺大，但希望做的更详细一点，就更好了。哈哈哈，好嗨由感觉人生到达了巅峰，加油,1
感觉有些地方说的不清楚，不够详细。比方说镜像设置方面，为什么要设置镜像，设置镜像有什么用，在设置镜像中的步骤有些地方跳跃，讲解的不够细，还是一知半解。,1
学到了很多知识,1
实用，对我帮助很大。,1
感觉课程有效,1
特别的好啊,1
老师讲的很有用,1
很详细，赞,1
"好几个fuyrte78\
",0
无语......,0
烂不烂啊，我雷震子乱杀,0
已经上了一遍下来。帮助挺大,1
感觉非常不错！,1
学到了很多！,1
很好很优秀，点赞,1
讲的不错。,1
"起码给个正确 答案啊 
这我都不知道哪个是正确的答案",0
"非常好,非常实用",1
课程内容非常实用，让我这个初学者很快就掌握了数控车床的操作方法,1
课程组织比较结合实际加工，对个人的实际操作技能提高很快！,1
学习法兰克车床。很不错的学习。,1
三维动画挺不错,1
很喜欢该课程，美中不足的是视频有时候播放不了。,1
比较接近现实（最好实际案例详细点）,1
增加了理论基础知识也开阔了眼界.,1
"查漏补缺，原来学习很多细节的东西没注意，这里学习到了
",1
完美的视频教学，使我们更全面、系统地学习数控车加工技术。,1
后面的什么时候更新呢,1
内容难度适宜,1
fuck~啊this是什么鬼thing，只有介绍没有课,0
内容安排合理，讲解清晰易懂，收获颇丰。,1
课程内容丰富，很好理解当中的意思。,1
上课内容很精彩,1
这课程讲的真好,1
没有M的代码吗,1
找课程太麻烦了。,0
很好啊很喜欢,1
"很好用的软件
",1
通俗易懂，很好,1
很好，讲的很细,1
差评，又不得不学,0
什么东西啊,0
我真想打差评,0
好好好好好,1
辣鸡辣鸡辣鸡,0
收货很多。,1
讲的很不错。细致 ,1
可以学以致用,1
"66666
",1
内容精练实用，值得好好学习。,1
每天有用的,1
谢谢，学了不少知识,1
基础知识比较适合小白,1
内容相当广泛,1
非常好 good,1
非常实用，知道自己的爱车需要测试紧急刹车，高速行驶等项目,1
淦！淦！淦！,0
太棒了牛逼,0
老师讲的通俗易懂，虽短但都是满满的干货！点赞！,1
非常好，受益匪浅，感恩平台！感恩老师！,1
tyyyygyy,1
简单易懂，对基础薄弱的同学极其友好,1
老师讲的非常好,1
我感觉非常好,1
挺好！希望再开设！,1
我懂得课程,1
老师讲的非常好，收获很多,1
差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲,0
知识面很全老师讲的很好,1
老师讲解很透彻,1
，，，，，,0
666，嗯嗯嗯。,1
敏你开口控,1
课件蛮好，老师认真，知识点突出，语言简练，值得学习，教这门课20年，有些确实不错，有收获。,1
很好，支持这个学习平台,1
6666666,1
66666,1
垃圾超级垃圾,0
很好，挺不错的。,1
老师讲得很好，但是我的基础较差，觉得还有很多地方要细细思考,1
联奏联奏联奏,1
介绍太简单,1
内容实用，生活当中能用到,1
非常好，很自由，讲课很详细，受益匪浅，一直学习中，希望能合格结束每门课程。,1
初学者不错,1
内容全面、细致，简洁、易懂。,1
说的很好，学习很多,1
声音小，但能听到的。老师讲的好。调理清楚。,1
蛮好的课程,1
感觉说的比较多，图片和视频稍微少了点。另外现在的新车型内容涉及的不多。,1
很好，学会了不少东西,1
通过学习使我初步了解和掌握了汽车的正确使用法和养护措施，了解到了汽车工作的基本原理，但有些专业术语我不甚理解，感谢视频里的讲解老师，让我受益匪浅。,1
还会再来，很喜欢在春暖花开的日子来这里提升自己,1
不错，就是有的知识点有些落后了,1
很好，浅显易懂,1
很好很好很好,1
很不错，每个视频一个知识，知识点讲解很细致，把电工基础知识都讲解到位了！,1
超棒！简明扼要又条理清晰，该讲的都讲到了，老师的咬字也非常清晰，声音也洪亮，感谢中国大学平台，感谢老师无私分享。,1
"LIHAI
",1
本人中专高三，机械专业，有人一起学习吗？qq3488930176,1
很好很好非常好。,1
一个听名师讲课的机会,1
电工技术我学会了很多,1
非常非常不好,0
手机不可以连续播放，看完就完事了吗？学不会不可以重看一遍吗？,0
好，让我学到了很多平时漏掉的知识,1
这个，讲的真的不错，就是哪个说话的时候有点压抑，一样能自然一点，但是讲的很容易理解,1
。。。。。,0
呵呵呵呵了,1
非常优秀的,0
老师讲解清析易懂,1
几位老师内容讲解都很全面，课件做的简洁大方，如果老师讲课普通话再标准一点就更好了。,1
非常好，而且不要钱,1
挺好的，老师讲的挺好的,1
讲解详细，收获很大,1
完美，到位，无可替代,1
知识丰富。结构合理,1
受益良多！,1
及其完整的课程，值得学习,1
第一天看不完，第二天就要重新算进度？？？ndmmsl,0
≫( )≫(yhvh’)≪,0
，，，，，，,0
太好了，学到了很多知识,1
辣鸡软件哦,0
泪呀，上了这去看别的要,0
讲解很详细 有操作视频 一目了然 直观 由浅入深 视频不长 但是学习效果很好 支持哦,1
。。。。。,0
东西挺好的。,1
感觉挺好的，天天学点，适合初学者，学习一下基础的网络应用。,1
 very good,1
老师讲的很好都可以理解,1
老师讲的很详细,1
课程很好。希望继续保持。,1
收获很大，特别是实操部分，理论方面个人感觉少了点，是不是后面章节多一点!,0
特别好特别棒,1
学习到的真的以前全都不知道挺好，最好能推出一些新的课程,1
非常好的啊,1
.....,0
考试时间和其他的不统一，很容易和其他的考试时间搞混,0
不想上课麻烦,0
收获了很多电脑技能知识,1
老师讲的很认真，说活也很清晰，不过我的耳机有点问题，五星好评,0
学以致用。,1
"还行
还行
还行

",1
很好很好非常好,1
网络课程，网络知识带来了很多乐趣，还有意识到网络的安全性！,1
好好好啊试试,1
"棒棒棒棒棒
",1
非常棒，可以,1
好的一批2222222,1
"课程非常实用
",1
讲解得较仔细，前6节较清晰，后面windows Server2008载图较模湖，第一次接触较难快速接受,1
很好，但是测试里面的知识点基本没有,1
学到了很多,1
非常的不错,1
我觉得自己还有待提升,1
风格如果还行,1
111111111,1
非常的好。,1
非常得不错，相关专业学习十分方便,1
"完美的世界
",1
非常好，很详细,1
"非常好 简单易懂 学习效率提高了
",1
学习很充实,1
可以基础又详细，就是目前来看个人感觉有点过时,1
"太烦人了繁琐
",0
很不错的呢,1
完全一样，很赞,1
思路清晰明了,1
。....,0
讲的太好了。,1
emmmm，她普通话不怎么标准，还有知识点不怎么到位，没重点，差评,0
Niiiiiiiiiiiiiiice。,1
讲得非常好,1
     ,1
教了，听不懂,0
"很好很不错
",1
非常好的学习平台,1
课程内容安排科学，讲解细致易懂。学习！,1
讲解得非常好，简单明了，很容易被学生接受。,1
讲解得非常好，简单明了，很容易被学生接受。,1
挺好的，老师讲的还算全面,1
垃圾不好用,0
好好好好好好,1
差，太差了,0
無話可說，他普通話emmm，語速又emmm。,0
通过学习，系统地了解了汽车使用的注意事项，日常维护的技巧，特别使用，针对性强，很受用,1
"刘入友爷爷表示这课程真的超级好。
",1
受益匪浅。,1
在课程里学到很多有用的知识,1
很细致，有所收获。,1
只知道开车，不知道维护修理，直到看到本课程，实用而且简明！,1
对自己日常使用  保养车辆非常有用,1
老师讲的很详细，课件做的很仔细。,1
这个课件详细的向我们说明了汽车日常使用和怎么保养自己的爱车，使我受益良多,1
挺不错！！,1
非常好，涨知识。,1
课程介绍得很详细,1
能够更多的了解汽车一些基础的知识，在以后的汽车保养以及购车方面有更多的了解。,1
我在看看再说,1
内容太简单，没有干货，失望！,0
非常棒呦啊啊啊,1
"值得学习、
",1
非常好，非常喜欢,1
辣鸡辣鸡辣鸡,0
证书多久发,1
好得不得了，10086个赞！,1
学无止境，,1
66666,1
"我感觉学习良好
",1
非常好，学到东西了,1
非常好的课程,1
切合实际，通俗易懂！,1
"模块二4.单选(2分) 关于多功能检测仪的使用，下述说法错误的是(   A   )
A. 拆下故障检测仪时，应先拔下诊断接头，再关闭故障检测仪电源开关和点火开关
B.将故障检测仪连接到诊断接口上时，必须接通点火开关
C. 连接好故障检测仪，应该先接通点火开关，然后再打开故障检测仪的电源开关
D.不允许拽着数据线拔下故障检测仪的诊断接头
与13 判断(2分)将故障检测仪连接到诊断接口上时，必须接通点火开关（错误）有出入。4.单选(2分) 关于多功能检测仪的使用，下述说法错误的是A,B.",1
henbucuo,1
"让我学习到了汽车发动机的基本维修技能，接下来希望自己考高级工能过
",1
很好不错。,1
通俗易懂 ，规范操作,1
非常好 棒棒哒,1
总体很棒，资源优秀，给每一个学习者提供的自我提升的好平台,1
比较实用，但是车型有点老。,1
很详细，很直观的视频讲解,1
很方便吗d,0
真的很好！,0
课程贴近实际生活，讲师讲述生动，赞！,1
棒棒的 收获丰富,1
PPT打不开,0
有些课程重复了，但是对与无法上学的我们是一件好事呢。,1
什么都好，就是不知道怎么领证书,1
视频看完一遍之后，不能重复看第二遍,0
咳咳咳咳咳,0
软件有点卡,0
"今天没吃饭
",0
非常好，通俗易懂,1
真的很不错，好的跟吃了屎一样,0
呵呵呵呵呵呵呵呵呵呵呵和二和或和和和和和和或和和和或或或和和和或和和和和和和或和和和或或呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵,0
这东西太简单了，差评,0
很酷，很炫，很厉害,1
感觉自己还行,1
挺好的。。,1
.......,0
还可以 就有时听不懂,1
内容很好，出了也可以,1
。。。。。,1
非常好，我很喜欢。,1
太棒了这个软件,1
五星好评，分期付款,0
123456,1
很感谢。老师就是不知道老师地址是哪里？想去拜访他。,1
太好了！！！！,1
加载巨慢。,0
感觉自己还是太差了,1
软件太卡了 加载视频也卡 进软件也卡  哪点都卡,0
十分好，太好了,1
垃圾软件，毁我青春,0
棒棒棒棒棒棒,1
太棒了，支持,0
非常好，非常满意,1
感觉还不错，就是视频有点短,1
极其恶劣！,0
一群托。。。。,0
很好。很有帮助。,1
非常不错我喜欢,0
出，，，+,0
非常详细，对自已的学习十分有帮助,1
.......,1
什么东西，一直给我显示正在加载中…,0
很好，非常好,1
一直加载中加载,0
好吧好吧好吧,0
一课一得，很好,1
很好  认识很多东西！,1
初次学习，能够了解一般知识。,1
哼哼唧唧见到房管局,1
还行吧，知识简陋适合新手,1
56666666666,1
66666666,1
HASOHJAHO,1
"我觉得学习效果很好
",1
"非常的不错
",1
张景中院士主讲的《发现微积分》以微积分发展史为主线，系统阐述了微积分的来龙去脉，让人知其然而知其所以然，眼前一亮，茅舍顿开。讲课内容生动，引经据典，恰到好处，从问题根源出发，逐步引出微积分所蕴含的思想方法。《发现微积分》不仅让你从中领略微积分伟大的思想精髓，同时对于进一步学习更严谨的微积分会有一臂之力，在此强烈推荐给数学爱好者！同时感谢张院士及团队热情无私的付出，而给我们所带来的美好快乐的礼物——《发现微积分》,1
超级喜欢听老师的课。,1
几年前拜读过张景中院士的《直来直去的微积分》一书，深受感触，现在看到这们课程，还是非常欣喜的。无论是书还是课程，都是很好的！,1
老师的讲课娓娓道来，有理论有实例，通俗易懂。,1
不像一般的课程从微积分已有的定理切入，而是从研究进程慢慢发现微积分，感觉更容易理解，但节奏比较慢，不适合应试,1
谢谢 张院士的讲解，循序渐进，推荐大家听课,1
这么好的课程没有被发现太可惜了。,1
厉害厉害厉害,1
由浅入深，好,1
谢谢老师精彩讲解,1
好!好!好!,1
好好好好好,1
好厉害有收获,1
今天刚注册，还行,1
.....,1
很好这个课程,1
无所谓的啦,1
汇聚点如何选？,1
66666,1
挺好用的就是有点卡,1
"不错，对电脑有了新的认识。
",1
好，很好，非常好,1
请问明天几点开课,1
好棒的程序,1
受用很深，也学到了很多的知识，让我感触非常大。学到了以前没有遇到过的知识，也非常的实用,1
。。。。。,1
差，太差，无比的差,0
666666666,1
实在是太感谢你们了，这一星是感谢你们让我能在被窝里上课了，剩下的四星，分期付款。,0
真的太好用了,0
“真好”74,0
全是托，辣鸡,0
知识是无价的感谢各位老师们！,1
太给力了，让我在寒假能够快乐的学习,0
哎，无聊，只能来听课,1
好棒啊啊啊啊啊,1
有点烦了。。,0
课程很全面，但是互动方面，有待提高！,1
非常详细，讲课非常认真！,1
还不错，有文档搭配视屏，学起来还是挺轻松的,1
挺好的！！！,1
课程名字改过来，电工基础,1
电工技术基础与技能有所进步。,1
停课不停学，很好的App,1
讲的很棒，老师很好,1
henghaohhh,1
"还可以就是没有讲解各个零件的名字及用途
",1
让我学到了很多课本中学不到的知识,1
"总体还行，赞
",1
讲的很好，语言规范点就好了。有的录音回音大听不清楚。,1
非常好，在增加些讲解更好,1
老师讲的很好,1
总体不错，个别的视频有效错误，比如燃油压力调节器，而不是燃油压力调角器。有些拆装检测的步骤如果配有注意事项说明就更完美了。,1
特别好，xuedaol很多,1
继续教育证书？,1
很好很棒，希望越来越好,1
"不错不错，值得推荐
",1
实践指导性很强！,1
"不错的   挺好  
",1
这门课程算是还行吧,1
受益匪浅，对于我这样的零基础，真的能够学到许多！,1
很好多次反复学习,1
课程非常精彩,1
还需详细，特别工具,1
不服老不行,1
好好好好好好,1
那边技能吧,1
很有用 非常不错,1
"好好好好好
",1
非常好用值得信赖,1
非常不错 ,1
很好，非常好,1
不错的课程,1
内容十分OK,1
很好不错可以,1
"真好
的，很有帮助",1
挺好用的，这个软件,1
很好非常好,1
知道了更多知识,1
从对网络的使用到对其了解和学习，收获很大的,1
学习到了关于网上购物等等实用的知识，和一些关于计算机的专业方法。,1
真的很有意义,1
至少让我学了很多,1
不知道怎么算支路电流法的详细解题过程， 没有详细的解题过程看完之后只会列式子不会解式子啊,0
"多少能明白些基本原理和计算了
",1
老师讲解细致易懂，思路清晰，收获很大,1
老师，可不可以提前将所有课程开放,1
内容条理，概念清晰，操作演示规范，每小节问题引入，小结知识点，语言精炼，起到很好的教学示范作用，值得向老师学习。,1
老师您好，请问怎样可以看前几次的视频呢？,1
"基础知识讲的很细，让人易懂，感谢老师们
",1
课程内容很丰富,1
还可以，讲课的节奏很好，内容难度适中，适合初学者。,1
老师讲得很好  通俗易懂 赞,1
学以致用，基础务实。,1
认为非常棒。,1
老师讲的很不错，也希望老师能过个一个好的春节。,1
还是要多提几个为什么  不要 光讲知识,1
在这上面学到很多 更加了解了电路的相关知识,1
课程通俗易懂，受益匪浅。,1
组织方式，授课内容都比较好,1
课件做得很仔细，老师说得很明白。,1
知识的海洋！,1
挺好的，希望讲长一点,1
"整体结构很好，但需要进一步细化，结合工作页和维修手册
",1
我觉得还好叭,1
"太让你爸爸失望了
",0
瓦特不是改良蒸汽机吗？,1
好好学习 天天向上,1
还不错，挺好,1
看了视频之后对我学习很有帮助，谢谢,1
这个课程让我能深刻了解汽车的文化。,1
"非常好。。

",1
知识很丰富，内容很好，很容易理解,1
邓丽君可是到了,1
自己学到了许多知识,1
好好  好好好,1
"感觉收获挺大的
",1
特别好很优秀,1
很好，学到了很多的汽车知识,1
66666666666666666666666,1
学到很多东西,1
"很仔细 内容充实
",1
好好的时候,1
知识蛮丰富的,1
就是感觉对生活的种种方面都有帮助吧,1
我感觉很有用,1
从中可以学得更多专业的职业技术，更加了解计算机，,1
感觉从中学到了很多很多。谢谢老师给了我这个机会来学习这些课程。,1
挺不错的，讲的很好,1
老师上课很用心，让我受益匪浅，恍然大悟，课讲的很明白，很感谢能有这样的一个平台来提升我自己,1
讲的很好，很实用,1
呃呃呃呃呃,1
很不错，不过可以加入网络管理方面的就更好了,1
66666,1
"。。。
。。。",1
ok的呢！,1
还可以吧。。,1
讲得很明白,1
课程简单易懂   ,1
可以，给好评,1
十分受用，知识增加。,1
"老师讲的很好
",1
让我对计算机有了更好的认识,1
小时候就对此感兴趣，苦于没有合适的机会，感谢中国大学MOOC团队！！！,1
很具体，很详细,1
老师讲的非常细致、全面，学起来比较容易明白。,1
不错，学到了不少知识，学会了怎样做课程设计,1
"很好，很详细。值得学习
",1
都是一些基础知识，对于初学者来说很有用。前面四章内容毫无压力从电磁场的知识开始觉得有点难理解了。重复多看几次，相信自己一定能学好。谢谢各位老师的辛苦讲解。,1
感谢老师。 老师讲的非常清楚,1
"非常 棒，讲的透彻
",1
xue xi,1
新颖的授课方式，非常不错，而且还可以与实际挂钩，最难得,1
传统教学方法，呆板，低效,0
从理论走向实践。,1
老师讲得非常明白和清楚，学起来也容易,1
老师做的课程精致细心，通俗易懂，能很快的吸收，比以往纯文字叙述和附带照片的书本容易理解多了，老师们花了很多时间和精力，实在感激不尽。,1
666666666,1
课件的准确度极高，但介绍的范围还是有点少。,1
"好
好好好好",1
"非常好，深有感触

",1
感觉一般吧,1
感觉非常好,1
还好还好还好还好,1
互联网平台思维，重点突出,1
科普型课程,1
"课程十分有趣
",1
声色并茂，精彩,1
"收获了很多知识
开拓了眼界",1
通过本课程我学习到了很多汽车方面的知识，收获很大,1
不错。就是简单了点。,1
不错。就是简单了一点。,1
学习了汽车的品牌文化，对汽车的发展有了更加深刻的了解。,1
内容丰富，受益很多。,1
照着念有什么意思安，又不是不识字。另外课件PPT也不给下载。,0
"懂了很多知识，
",1
"好好好好好好

",1
易懂，讲课细致,1
适合我学习,1
不错，学习结构合理，紧张有序。,1
"恒好哦，很棒
",1
非常有帮助!,1
非常好的课程，很有用,1
感觉可以，先力挺,1
老师讲的很好很实用。,1
好好好好好好好,1
"很不错太好了
",1
"挺好的
双方各SR",1
课程很不错，老师们很用心的教，如果有交流群那就再好不过了。。,1
学习的很棒,1
"我感觉很不错
",1
棒棒哒学习更好的计算机知识,1
"学到很多东西
",1
很好用，启发很多,1
很好用，觉得学到很多,1
挺感慨的，虽然花的时间多但是收获也挺大的，弄懂了好一部分以前不知道的只是,1
收获很大的,1
加深了我对汽车文化的了解，让我更加热爱汽车，希望更深入了解汽车的历史。,1
课程很详细，逻辑清晰！,1
学习都有一定时间了，这是一个很好的学习平台，可以利用一些上班以外的空余时间进行学习，充实自己。,1
真的很不错！,1
还好继续学习,1
很好。很好。,1
非常棒呦，哈哈,1
此课程非常好,1
挺好的学习形式,1
非常好，支持,1
无聊，，，，,0
感谢老师们的授课，50岁的我们学习不为证书，只为了解一些茶的知识提高生活品质。希望能简单介绍一些常见茶的手工制作方法。,1
很不错  感觉很有收获,1
很棒，学到很多,1
内容很丰富，老师讲的也比较细致，获益匪浅，学习茶艺就是经历茶的整个生命历程！,1
学到不少知识,1
必须推荐，感谢老师们的精心制作。有很多亮点，如茶的来源传说故事，制作了专门的动画；茶艺冲泡的展示非常专业，讲解恰到好处，动作的流畅自然，干净，非常具有观赏性。,1
中国幕课很好！,1
学习这个课程很有收获,1
教学内容荣实用性强，对于非专业人士，了解有关茶的知识有很大帮助。希望后面内容介绍一些茶礼方面的知识，对推广普及中国茶文化有好处。,1
授课内容适合我这样的初学者，内容详实，个别节没有介绍浸泡时间,1
课程内容实用，受益很多。,1
了解茶的基本知识，学习茶艺,1
喜欢，希望能传承下去，发扬光大，老师讲的很棒,1
棒！强烈推荐,1
学习了很多，老师们辛苦了!,1
学到了很多专业知识，茶艺是一门很好的课程，在学茶的过程中更多的是静下心来，去享受生活的过程,1
喜欢，有意义，适合入门,1
这门课是众多茶艺课程中，比较容易入手的一门，从茶的历史、文化到分类、鉴别、冲泡等，都有涉及。强烈推荐。,1
实用，学到了很多知识，面画内容也做的很完善,1
课程体系完整，老师讲解精辟，硬干货。,1
学习更多的计算机课程知识,1
学习使我快乐！,1
"完美，很有意义
",1
了解更多的计算机课程知识,1
非常好，对今后学习非常有用，在生活中也帮了大忙,1
"非常好十分好
",1
"good good good,可好使了",1
"老师很好，很快乐
",1
"还可以，蛮有用的

",1
"verygood
",1
"ok!
可以",1
非常非常不错,1
学习试我快乐,1
超级超级棒,1
"我认为很好
",1
课程很棒，让我学到了很多有用的知识，更深刻的了解网络基础知识。,1
教会了我很多东西,1
nice！,1
很棒学到了很多,1
"有所提升很强
",1
哈哈哈，感觉通过这门课程的学习，对咖啡的了解更多了，超级喜欢这些带有文化气息的小故事还有安排的时间也是恰到好处的，非常喜欢，感觉自己的学习效率也提高了很多喔。给编者点个赞，笔芯，嘿嘿~,1
非常实用，视频结合文档、练习学起来清晰明了1,1
课堂讲解及课件都很精彩，从未了解过咖啡，现在长见识了,1
非常感谢老师，让我系统了解咖啡文化，谢谢！,1
这门课程很有意思。,1
"非常不错的课程。
",1
很不错的了解一下咖啡文化的方式！,1
咖啡一直是我钟爱的饮品，以前只知道喝，想不到还有这么多门道在里面额,1
画面感像是上个实际的，听了两节感觉不怎么样，等全部学完希望有收获,0
感觉既有咖啡调制赏析还有可以实际操作的教授过程，很喜欢。,1
so good,0
很好呦多谢,1
埃塞俄比亚 牧羊人，土耳其 商人， 意大利威尼斯！ Espresso诞生 。意式王超开始！,1
精心制作的课程，很棒,1
很好！！！,1
还有好多新知识，应该加到课程里面来。,1
课程内容安排合理,1
课程挺不错的，需要好好消化练习。,1
通过视频和课件的展示，我了解到了不同种类咖啡的制作课程以及相关历史文化。感谢老师的讲解和咖啡人员的视频展示。,1
很好啊！尤其是冲泡过程很受益！继续学习！,1
以前对绿茶稍有了解，但是通过学习，深感中国茶艺绿茶对人们的养生好处！,1
学习了很多茶文化！,1
丰富茶艺知识，提高生活品质。,1
传统文化，源远流长,1
很不错，适合我们这些零基础的。,1
通俗易懂，简洁明了！,1
课程内容组织上：条理清晰，重点环节重点突出。,1
老师课程很好，,1
推荐大家学习。,1
"可以的
不错",1
感觉非常好，受益匪浅！,1
老师讲述非常细致，而且很专业！,1
学习到很多专业茶知识，冲泡的视频很治愈,1
老师的课件、微视频都做的很好，讲解清晰明了，对初学茶艺的我很大帮助。,1
很喜欢茶艺课,1
很棒很棒很棒~,1
好，收获颇多,1
非常好，实用、适用,1
对我学习很有帮助,1
"真好，内容很充实
",1
"好啊
太好了",1
"学到很多东西

",1
蛮不错的，还可以,1
让我学到了更多的知识,1
henhao,1
".....没感觉

",1
还可以，但有的题目视频中没有。,1
"对我很有帮助
",1
学习到很多知识,1
"好好学习天天向上
",1
课程很有意义，值得学习,1
"很好。很有帮助
",1
总体来说挺好的,1
"真的非常的好
",1
感觉课程对我有很大的帮助,1
"good非常好非常非常好
",1
让我学会了计算机知识,1
真的好好呀,1
特别棒，收获很多,1
我喜欢咖啡，咖啡文化，好好学习！,1
好好好好好,1
很好很不错,1
对咖啡的介绍比较笼统简单，让人容易在短时间内粗略认知咖啡，浅显易懂，对于咖啡爱好者，无疑是一个锦上添花的事情。这个课程开得很不错哦。感谢。,1
课程一点都不与时俱进，哪里好评了？,0
能够从实际出发，结合实际指导，非常棒。,1
注册了的学校云总是莫名消失还不能再注册,0
可以说是相当不错了,1
内容生动活泼，形式新颖；学习了很多新知识，希望可以继续学习,1
让我更了解了咖啡,1
个人感觉课程安排的很好从咖啡的各个方面进行了讲解，对于咖啡有了更多的了解。如果PDF课件能与视频课件内容更一致感觉会记得更牢靠些。因为有些问题在视频中没有出现，只在PDF课件中出现，所以相对来讲印象可能没有那么深,1
"看了两本书还是没感觉唉，ROS,老子一定学会你，让你嚣张垃圾 辣鸡",1
没有一板一眼的介绍，机器人定义，起源，发展这种没什么信息量的东西，短小精悍,1
我第一次接触到双系统。从上午开始折腾，连续弄到了第二天凌晨。ummm确实有点难但是…太有趣了贼开心www,1
通过这个网站学习使知识面扩大了，搞什么就可以来学什么，非常适合在职工作的需求。希望能下载视频和学习资料。放宽发证条件，让人们有更多时间工作学习尔不是为了证费更多的时间。,1
众里寻他千百度，蓦然回首，那课原在慕课中,1
在台湾，有时候觉得网络太慢了，影片download 很久,1
"老师讲得很好！

由于MOOC本身缺陷，自己操作中问题，老师很难帮助解决，需要慢慢查资料。

虽然没有在自己机器上运行成功，但内容还是基本理解。

谢谢！

有收费的现场学习班吗？愿意参加。

2018年8月11日追加：
老师，怎么没有电子证书？",1
这个真是nn高尖端了,1
课程很不错，但是虽然课程并不多，需要自己进行大量时间,1
很好的一门ROS入门课程，老师讲得通俗易懂,1
