comment,sentiment,,
鍨冨溇锛岃寰椾笉琛屼綔涓氳繕涓嶇粰瑙ｆ瀽锛熸垜tm灏辨槸鏉ョ湅棰樼殑鍟?0,,,
寰堝潙鐨勮锛屽康PPT鐢昏川涓嶆暍鎭淮锛屽洟闃熶笉缁欏姏鐪熸帀浠?0,,,
澶け鏈涗簡澶け鏈涗簡,0,,
璇剧▼浠庤鏈殑浣撶郴鍑哄彂锛屽璇炬湰鏈夋墍鎵╁睍锛屽唴瀹瑰拰褰㈠紡涓板瘜澶氭牱锛岃鎴戜滑鍙互閫氳繃鐢熷姩褰㈣薄娲绘臣鐨勮鍫傚涔犵煡璇嗭紝鎻愰珮鎬濇兂閬撳痉淇吇锛屽煿鍏昏嚜宸辩殑鍒濇娉曞緥鍩虹銆?1,,,
姝ｅ鸡鐢佃矾閭ｄ汉璁茬殑浠€涔堜笢瑗匡紵锛燂紵鍙ｉ煶涓ラ噸灏辩畻浜嗭紝浠栦笉灏辨槸蹇典簡涓€閬峱pt锛屼粈涔堢帺鎰忓効鍟婏紵锛熺湅鏉ュ摢鎬曟槸娴欏ぇ鍍忕縼鎭鸿繖鏍风殑鑰佸笀涔熸槸鍑ゆ瘺楹熻锛岀粰浜堝樊璇勩€?0,,,
璁茬殑鐪熺殑涓嶅拫婊达紝鎰熻灏辨槸鍦ㄥ康ppt   姝︽眽澶у鏁欐巿灏辫繖姘村钩锛?0,,,
鑰佸笀璁茬殑瓒呮锛侊紒锛?1,,,
璇剧▼寰堟锛岃棰戝仛鐨勫緢绮剧編锛屽緢鍠滄鏉庢棴鍏夎€佸笀鐨勮绋嬶紝鎱曞悕鍓嶆潵锛岃鐨勫緢閫忓交锛屼竴娆″緢濂界殑鍚缁忓巻,1,,
杩欎釜蹇呴』鍜岀瓟妗堝啓涓€妯′竴鏍锋墠绠楀锛熸剰鎬濊〃杈句竴鏍疯繕涓嶈,0,,
鑰佸笀璁茬殑寰堟竻鏅帮紒锛侊紒,1,,
娌℃湁浠讳綍甯姪,0,,
鑰佸笀璁ょ湡锛岃瑙ｅ叏闈?1,,,
鑰佸笀璁茬殑鐪熷ソ锛屾湁鍙よ瘲鐨勫紩鍏ワ紝妯悜姣旇緝鍦板煙鐨勬槦璞★紝璁╂垜浠笉浠呮洿濂界殑浜嗚В浜嗘槦搴х煡璇嗭紝鐭ラ亾浜嗘槦搴у湪鍝?1,,,
宸姴锛岃€佸笀鐓ф湰瀹ｇ锛岃嚜宸辩湅涔﹁嚜瀛﹂兘姣旂湅杩欎釜寮哄浜嗭紝鐪嬭繖瑙嗛瀛︽晥鐜囦綆涓嬶紝鑰佸笀蹇典功鐨勬椂闂存瘮鎴戜竴鐪兼壂杩囧幓鎵€鑺辩殑鏃堕棿澶氫簡鍥涘€嶃€傛垜涓嶆暍鐩镐俊鏄姹夊ぇ瀛﹀悕甯堢殑姘村钩銆?0,,,
"涓嶉敊
銆傘€傘€傘€傘€傘€?,1
濂芥瀬浜嗗ソ濂藉ソ濂?1
闈炲父濂斤紝鏈夊惛寮曞姏,1
瀛︽湳瑙勮寖鍜岃鏂囧啓浣滃唴瀹瑰锛屾敹鑾峰緢澶с€?0
寰堝ソ锛屾瘡涓€鍗曞厓鐨勮鏃跺緢鍏紝杩樻湁ppt鍙互鏌ョ湅,1
闈炲父濂斤紝寰堝疄鐢?""",1,,
鍛滃憸鍝掓墦搴曡鎴?1,,,
鐪嬪畬涔嬪悗娑ㄧ煡璇嗕簡,1,,
鑰佸笀璁茶寰堢粏蹇冿紝鍐呭闈炲父鍏ㄩ潰锛岃鎴戜滑寰堝ソ鐨勭悊瑙ｄ簡姣涙鐨勭簿楂撴墍鍦ㄣ€?1,,,
"涓€鑸埇锛屽浜庢垜鏉ヨ
",0,,
寰堢儌鐨勮锛岃璇惧畬鍏ㄦ病鏈夐€昏緫,0,,
鐗╃悊瀹為獙璇剧殑缃戣鐪熺殑寰堝ソ锛屽緢鍏ㄩ潰璁茶В涔熷緢璇︾粏銆?1,,,
鑰佸笀璁插緱寰堜粩缁嗭紝瀛﹀埌浜嗗緢澶?1,,,
18绉嬪杩?0鐝儹鐖辨澃,1,,
浜嗚В鍒板師鏉ュ箍鍛婁笌閿€鍞湁杩欎箞澶氱浉鍏宠繛鐨勫唴瀹癸紝瀛﹀緱寰堝ソ澶氫笢瑗匡紝浣嗘劅瑙夋湁绾镐笂璋堝叺杩樻槸甯屾湜鍙互蹇偣鍥炲幓鏍″洯,0,,
瀛﹀埌浜嗘洿澶氱殑鐭ヨ瘑锛屾墦寮€浜嗗涔犵殑鏂板ぉ鍦?1,,,
鍨冨溇锛岃€佹槸鎵撲笉寮€,0,,
璇剧▼鍐呭璇﹀疄锛岃璇剧敓鍔紝鍙楃泭鍖祬銆?0,,,
瀵规垜宸ヤ綔甯姪寰堝ぇ锛屾敹鑾峰澶?1,,,
瓒呴夯鐑︾殑锛屼笉鍠滄杩欑绛旈鏂规硶銆?0,,,
澶浜嗗鍒拌澶?,1,,
鏃堕暱澶煭锛岃鐨勫緢浠撲績,0,,
寰堟柟渚匡紝寰堟柟渚?1,,,
绱ц窡瑁よ鐗圭偣锛屽ソ锛?1,,,
鑰佸笀璁茶璁ょ湡锛屽彲浠ュ洖鏀撅紝杩愮敤鎱曡姣旇緝渚垮埄锛屼絾鏈夊お澶氫簨鎯呰鍋氫簡锛屽鏄撳繕璁版渶鍚庢湡闄愩€?1,,,
鐓ф湰瀹ｇ鍛€锛?0,,,
缁垮挅鍠遍浮鍨冨溇,0,,
瑙夊緱瀛﹀埌浜嗗緢澶氫互鍓嶄笉浜嗚В鐨勭煡璇?1,,,
鑰佸笀璁插緱寰堝ソ锛屾敹鑾疯壇澶?1,,,
鏉ユ墦涓箍鍛婏紝鏈€鐖辨潹鑰佸笀,1,,
鍏充簬鏂板啝鐥呮瘨鐨勮瑙ｉ潪甯告,1,,
璁ょ湡瀛︿範涓浗鐗硅壊绀句細涓讳箟鐞嗚浣撶郴,1,,
鐪熷績鏈夊緟鎻愰珮,0,,
鍐嶈鐨勬繁鍏ヤ竴浜涘氨濂戒簡,0,,
宸瘎鎷嗕綘缁欏樊璇?,0,,
"杩欎釜璇剧▼蹇呴』姣忔鐫￠啋涔嬪悗鍚?0鍒嗛挓锛岀劧鍚庣户缁潯銆?鍖椾含澶у鐨勮€佸笀閮借繖姘村钩锛?,0
鍙楃泭鍖祬 鑹笀鐩婂弸,1
璁ょ湡鍚鑲畾浼氭湁寰堝鎰忔兂涓嶅埌鐨勬敹鑾?1
寰堝閲嶈鐨勫湴鏂归兘璁插緱澶缁燂紝杩樻湁濂藉鍙ｈ鐨勫湴鏂?0
浜旀槦濂借瘎锛屽垎鏈熶粯娆?""",0,,
娌″鍒颁粈涔堜笢瑗?0,,,
閮戞暀鎺堢殑鍙緢濂姐€?1,,,
寰堝彈鍚彂锛屽鍒颁簡寰堝,1,,
涓板瘜鐨勬渚嬪緢鍏锋湁鍚开鎬?1,,,
浜嗚В浜嗗緢澶氫笉鏄湰涓撲笟鐨勭煡璇嗭紝寮€闃斾簡鐪肩晫,1,,
璺熶笂鏃朵唬姝ヤ紣锛屽鏃犳澧冦€?1,,,
鏈辨暀鎺堢畝鍗曟槑浜嗙殑璁叉巿锛岃璇剧▼绠€瀛︽槗鎳傦紒,1,,
瀛︿範璧勬枡寰堝ソ,1,,
鑰佸笀澶ソ浜嗭紝瓒呯骇鍠滄鑰佸笀鐨勫唴瀹?1,,,
鎴戞€庝箞鍝簺璇剧▼瀛︿範浜嗗摢浜涙病瀛︿範锛屼笉搴旇鍖哄垎涓€涓嬪悧锛?,0,,
鑰佸笀璁茬殑澶浜?,1,,
蹇冪悊鍋ュ悍锛屽揩涔愮敓娲汇€?1,,,
"璇剧▼鍒峰畬浜嗗彲鏄樉绀烘湭鍒锋柊
",0,,
涓€涓疄楠岃娌″繀瑕佽缃€冭瘯鍚э紝鑰屼笖鍜屽叾浠栬鐨勮€冭瘯閮藉啿涓€璧凤紝杩欎簺涓滆タ鍙堝鍙堥毦浠ョ悊瑙ｏ紝鐪熺殑鏈夌偣鐒跺悗璁╀汉澶寸柤,0,,
鎸烘鐨勫摝銆?,1,,
璁查槷绮掔殑閭ｄ釜鑰佸笀涓嶄絾鍙戦煶璁╀汉鎶撶媯锛屽０闊冲皬鐨勫彲鎬滐紝澹伴煶寮€鏈€澶у惉涓嶈,0,,
浜旀槦濂借瘎 鍒嗘湡浠樻,0,,
鑰佸笀锛屼笂涓€鎵圭殑璇佷功浠€涔堟椂闂村彂鍟娿€?0,,,
澶辨湜闈炲父澶辨湜,0,,
瓒呯骇妫掞紝瓒呯骇鍠滄鏉庢磥鑰佸笀,1,,
"涓嶉敊锛屾尯濂界殑
",1,,
缁撳悎妗堜緥锛岃鎺堣鏀挎硶鍘熺悊锛岀悊璁鸿仈绯诲疄闄咃紝閫氫織鏄撴噦,1,,
鍗℃  涓€涓婂崍浠€涔堜篃娌″    鎬绘槸琚崱鍑哄幓,0,,
璁茶瑙嗛涓彃鍏ョ殑澶栨櫙閲囪瑙嗛寰堟病鏈夊搧浣嶏紝闈炲父澶辨湜銆?0,,,
鏀惰幏棰囧 鎰熻鑷繁瀛﹀埌浜嗗緢澶?1,,,
宸插涔狅紝瀛﹀埌浜嗗緢澶?1,,,
杩涘害鏃犳硶鍙婃椂鏇存柊锛屾垜寰堢儲,0,,
鑰佸笀璁茬殑鍜岀簿褰?1,,,
浜嗚В浜嗙梾姣掔殑鏉ユ簮浠ュ強濡備綍闃叉鐥呮瘨,0,,
寰堝ソ锛屽皢寰楀緢璇︾粏銆?1,,,
姘旀鐖哥埜浜?,0,,
鎸哄ソ鐨勶紝瑙嗛璁捐鍜屽唴瀹归兘寰堟锛?1,,,
闈炲父濂?瀵逛簬鎴戜滑杩欑鍙互鍒╃敤鑷繁鐨勭┖闂叉椂闂达紝 鏉ユ彁鍗囪嚜宸?1,,,
璇惧爞鐢熷姩涓旀祬鏄炬槗鎳傦紝瀵规垜澶у鑻辫鐨勬彁楂樺甫鏉ヤ簡寰堝ぇ甯姪,1,,
璁よ瘑鍒颁簡鎬濇斂璇剧殑寮哄ぇ銆?,1,,
鍚屼竴閬撻鐩嚭鐜颁笉鍚岀殑绛旀   鍑虹幇鏃犳纭瓟妗? 鏈夋纭瓟妗堝嵈鎻愮ず閫夋嫨閿欒,0,,
璇剧▼鏃堕暱鍚堢悊锛屽唴瀹逛赴瀵岋紝鑰佸笀璁茶В鍒颁綅,1,,
浠庝腑瀛﹀埌浜嗗緢澶氫笢瑗?1,,,
"寰堣兘甯︾粰鎴戜笉涓€鏍风殑瑙掑害
",1,,
浼犺涓殑PPT鑰佸笀锛屽０闊宠窡鐚竴鏍峰皬,0,,
浜掕瘎涓轰粈涔堟病鏈夋彁閱掞紵鐪熺殑鏈嶄簡锛屾伓蹇冧汉鐨?0,,,
绾夸笂瀛︿範寰堟湁鎰忔€?1,,,
鎰熻鐭ヨ瘑鏇村姞绋冲浐浜嗭紝鑰佸笀璁茬殑閮藉緢娓呮锛?1,,,
璇剧▼閲嶅澶浜嗭紝寰堣偆娴呫€?0,,,
缃戜笂涓婅灏界娌″鏍″涔犳晥鐜囬珮锛屼絾鏄鐨勫ソ澶氫笉鐞嗚В鐨勭煡璇嗚嚜宸遍兘鍙互瑙ｅ喅锛岃嚜瀛﹁兘鍔涗篃鏈夋墍鎻愰珮銆?0,,,
                              浜斾釜瀛楃湡闅?0,,,
浜嗚В鍒颁簡寰堝瀹囧畽鏂扮煡璇?1,,,
鍙楃泭鍖祬锛屽鎴戦潪甯告湁鐢?1,,,
鏈熷緟璇剧▼鐨勫紑濮?1,,,
寰堝崱锛岃棰戝緢濂戒絾鏄繖涓緢鍗?0,,,
宸瀬浜嗭紝鎬绘槸宕╂簝锛屽弽棣堝鎱㈡棤姣?0,,,
绗竴娆￠€夌綉璇俱€備粈涔堥兘涓嶆噦銆備綔涓氶兘娌″強鏃朵氦锛屾槑骞撮噸鏂伴€夋ā鍧?鍚?0,,,
鍋氶鐩彲浠ュ讥琛ュ湪璇惧爞涓婂涔犵殑涓嶈冻涔嬪锛岀湅瀛︿範瑙嗛鑳藉鎶婁竴浜涚粏鑺備笂鐨勪笢瑗垮浼氳ˉ鍏咃紝鍚戣€佸笀鎻愰棶鍙互绛旂枒瑙ｆ儜锛屾垜璁や负鏄潪甯稿ソ鐨勪竴绉嶅涔犳柟寮忋€?1,,,
鍡€傘€傛垜鐩镐俊鑰佸笀鑷繁鏄噦鐨?浣嗚鍑烘潵鐨勬劅瑙夊緢鐢熸订,0,,
"鍏崇郴鏁版嵁鐞嗚璁茬殑澶笉鐔熺粌浜嗭紝鏄惧緱鐢熺‖锛屾劅瑙夌収鏈康涔︼紝锛岋紝鑷繁閮芥病鐞嗚В閫忥紝鎵€浠ユ牴鏈棤娉曞ソ濂借В閲婏紝锛岋紝杩欐牱鐨勮灏变笉瑕佹斁MOOC涓婁簡銆傘€?杩樻湁涓嶅師娌圭殑鍔ㄧ敾鏀炬槧锛屽共鎵板鐢熺湅瑙嗛鍜屾€濊€冿紝锛岋紝涓€鍙ヨ瘽锛岃绋嬭川閲忓仛鐨勫お宸?,0
鍚嶅鐝富浠绘櫤鎱у棰楅鏄熺伀鎶婃垜鐓ц€€,1
钀ュ吇涓庡仴搴风湡鐨勫緢閲嶈",,,
",1
杩樻槸涓嶄細鍒涗笟,0
鍙ｈ瘧鍛樿鍏峰鐨勮兘鍔?0
鑰佸笀璁茬殑闈炲父濂斤紝閫昏緫娓呮锛岄€氫織鏄撴噦锛?1
涓婅鏈変竴涓涪鏋嚗寰堝洶,0
璇寸湡蹇冭瘽涓嶅涓嶇煡閬擄紝瀛︿簡涔嬪悗纭疄鏀惰幏寰堝锛岀敓娲讳腑灞呯劧鏈夊姝ゅ鐨勫績鐞嗗瀛﹂棶銆傝阿璋㈠崡澶ц€佸笀鐨勭簿褰╄瑙ｃ€?1
鎴戠殑澶╁晩锛佸ぇ瀛︽暀鎺堣璇鹃兘杩欎箞鐢熺‖鐨勫槢锛熸劅瑙夊儚鏄康璇炬湰鐨勬満鍣紝鍝庛€?0
鑰佸笀璁茶В鍏ㄩ潰锛岀敱娴呭叆娣憋紝瀹规槗鐞嗚В銆俻pt鍐呭鍏ㄩ潰锛岀揣鎵ｈ瑙ｅ唴瀹癸紝缁撳悎.ppt瀛︿範鏁堟灉寰堝ソ銆傝鍚庡彂甯冪殑璇鹃璁ㄨ闈炲父鍏锋湁瀹為檯鎰忎箟锛屾湁鍒╀簬瀛︾敓杩涜鑷垜妫€鏌ャ€傛€诲緱鏉ヨ锛屽緢涓嶉敊銆?1
鍜变滑杩欒娌℃湁鏁欏瑙嗛鍚楋紵",,,
",0
浠婂ぉ娌′笅闆?宸瘎,0
璇剧▼璁茬殑濂芥槸濂斤紝鍙槸璇句欢鍜屼綔涓氭彁浜ゆ柟闈㈢殑闂绠€鐩翠护浜烘姄鐙傦紒璇句欢璺熻鍫傝璇炬湁瀵逛笉涓婄殑鍦版柟锛屾湁鐨勮繕娌℃湁路路路路路路鎻愪氦鏃ユ湡澶揣浜嗗惂锛岃皝杩樺彧鎶ヤ竴闂ㄨ锛熼兘瑕佸繖鐫€浜や綔涓氾紝鐒跺悗绔犺妭鎺掑湪鍚庨潰鐨勭珶鐒朵氦浣滀笟鏃堕棿姣斿墠涓ょ珷鏃╋紵閮芥病鐪嬪埌路路路路路路,0
鍐呭涓板瘜鏈夎叮锛屽叿鏈夋繁搴﹀拰瀹為檯鎰忎箟,1
钀ュ吇涓庡仴搴蜂笌鎴戜滑鐨勭敓娲绘伅鎭浉鍏筹紝鎴戜滑澶у骞虫椂瑕佸澶氬叧娉ㄣ€?1
瓒呯骇鏃犳晫妫掞紒,1
澶浜嗗晩鍟婂晩,1
鎬濇兂閬撳痉淇吇涓庢硶寰嬪熀纭€杩欓棬璇炬彁鍗囦簡鎴戜滑鐨勪慨鍏伙紝鍩瑰吇浜嗚壇濂界殑鎬濇兂鍝佸痉锛屽悓鏃朵篃浣挎垜浠浜庢斂娌讳笌娉曞緥鏈変簡杩涗竴姝ョ殑浜嗚В锛岃繖闂ㄨ绋嬫秹鍙婂箍娉涳紝瀵圭煡璇嗙殑璁茶В涔熷緢鍒颁綅锛岀畝娲佽€屼笉绠€鍗曪紝姣忎釜鑰佸笀鐨勮瑙ｉ兘鍒叿鐗硅壊銆傝繖闂ㄨ瀵逛簬鎴戜滑鎻愬崌涓汉鏂囧寲绱犲吇锛屽寮烘皯鏃忚鍚屾劅銆佽嚜璞劅鏈夋瀬澶х殑浣滅敤銆傚叾涓紝鎴戝崄鍒嗗枩娆㈡硶寰嬮儴鍒嗙殑璁茶В锛屾湁缁忓吀妗堜緥鐨勬惌閰嶏紝鍐呭涓嶄細鏋嚗涔忓懗銆?1
閫氳繃瀛︿範銆婃暀甯堣亴涓氶亾寰枫€嬭繖涓棰橈紝浣挎垜鍙楀埌浜嗗緢澶х殑鍚彂鍜岄紦鍔憋紝鍋氭暀甯堢殑锛屾垜浠竴瀹氳鎿嶅畧鏁欏笀鐨勮亴涓氳鑼冨拰閬撳痉淇吇锛屼緷娉曟墽鏁欙紝涓轰汉甯堣〃锛岄€氳繃涓嶆柇鐨勫涔狅紝淇冭繘鑷韩浠ュ強瀛╁瓙浠浼氬涔犮€佸浼氱敓娲汇€佸浼氱敓瀛橈紝浠庤€屾洿濂藉湴浜彈鍋氭暀甯堢殑骞哥銆?1
鍙楃泭鍖祬锛屾劅鍙楄壇澶?1
杩樹笉閿欙紝缃戣鐨勫唴瀹瑰彲浠ュ啀鏈夎叮涓€鐐?1
瀛︿範寰堟湁鏀惰幏锛屾劅瑙夎€佸笀浠殑浠樺嚭锛?1
澶骞垮憡锛岀粡甯稿崱,0
璇鹃兘鐪嬪畬浜?棰樼洰绔犺妭涔犻閮藉仛浜?鍗村彧鏄剧ず瀛︿範浜?5涓鏃?""",0,,
